Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%],,,Liczba epok,Wspolczynnik uczenia,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
10,0.01,903.29,127,78,61.95,,,10,0.01,1143.97,90.25,114.75,44.03
10,0.2,886.19,127,78,61.95,,,10,0.2,1398.30,127.00,78.00,61.95
10,0.4,878.97,127,78,61.95,,,10,0.4,1076.30,127.00,78.00,61.95
10,0.6,878.64,127,78,61.95,,,10,0.6,1301.20,127.00,78.00,61.95
10,0.9,876.8,127,78,61.95,,,10,0.9,1020.29,127.00,78.00,61.95
20,0.01,888.7,78,127,38.05,,,20,0.01,1234.90,114.75,90.25,55.98
20,0.2,882.57,127,78,61.95,,,20,0.2,970.85,127.00,78.00,61.95
20,0.4,880.72,127,78,61.95,,,20,0.4,979.17,127.00,78.00,61.95
20,0.6,2127.45,127,78,61.95,,,20,0.6,1655.74,127.00,78.00,61.95
20,0.9,904.43,127,78,61.95,,,20,0.9,1047.37,127.00,78.00,61.95
50,0.01,1923.06,127,78,61.95,,,50,0.01,1280.90,127.00,78.00,61.95
50,0.2,926.38,127,78,61.95,,,50,0.2,1337.26,127.00,78.00,61.95
50,0.4,924.52,127,78,61.95,,,50,0.4,1047.60,127.00,78.00,61.95
50,0.6,917.49,127,78,61.95,,,50,0.6,1390.79,127.00,78.00,61.95
50,0.9,913.87,127,78,61.95,,,50,0.9,1014.93,127.00,78.00,61.95
100,0.01,956.65,127,78,61.95,,,100,0.01,1483.66,127.00,78.00,61.95
100,0.2,949.19,127,78,61.95,,,100,0.2,1087.19,127.00,78.00,61.95
100,0.4,953.26,127,78,61.95,,,100,0.4,1012.67,127.00,78.00,61.95
100,0.6,944.78,127,78,61.95,,,100,0.6,1370.76,127.00,78.00,61.95
100,0.9,1997.08,127,78,61.95,,,100,0.9,1605.99,127.00,78.00,61.95
200,0.01,1016.75,127,78,61.95,,,200,0.01,1072.42,127.00,78.00,61.95
200,0.2,2129.98,127,78,61.95,,,200,0.2,1455.54,127.00,78.00,61.95
200,0.4,1046.62,127,78,61.95,,,200,0.4,1625.53,127.00,78.00,61.95
200,0.6,1038.14,127,78,61.95,,,200,0.6,1303.26,127.00,78.00,61.95
200,0.9,1072.1,127,78,61.95,,,200,0.9,1442.04,127.00,78.00,61.95
500,0.01,1304.35,127,78,61.95,,,500,0.01,1366.33,127.00,78.00,61.95
500,0.2,1279.53,127,78,61.95,,,500,0.2,1335.49,127.00,78.00,61.95
500,0.4,1255.62,127,78,61.95,,,500,0.4,1605.73,127.00,78.00,61.95
500,0.6,1254.31,127,78,61.95,,,500,0.6,1320.12,127.00,78.00,61.95
500,0.9,1278.34,127,78,61.95,,,500,0.9,1694.65,127.00,78.00,61.95
1000,0.01,1625.5,127,78,61.95,,,1000,0.01,1813.94,127.00,78.00,61.95
1000,0.2,1611.75,127,78,61.95,,,1000,0.2,2417.36,127.00,78.00,61.95
1000,0.4,2745.94,127,78,61.95,,,1000,0.4,2229.50,127.00,78.00,61.95
1000,0.6,1647.13,127,78,61.95,,,1000,0.6,2231.61,127.00,78.00,61.95
1000,0.9,1700.19,127,78,61.95,,,1000,0.9,1842.55,135.00,70.00,65.85
2000,0.01,2426.8,127,78,61.95,,,2000,0.01,2661.17,127.00,78.00,61.95
2000,0.2,2454.11,127,78,61.95,,,2000,0.2,3356.08,127.00,78.00,61.95
2000,0.4,2405.87,127,78,61.95,,,2000,0.4,3063.42,139.25,65.75,67.93
2000,0.6,2228.97,127,78,61.95,,,2000,0.6,3211.16,139.25,65.75,67.93
2000,0.9,2232.19,127,78,61.95,,,2000,0.9,2620.05,147.00,58.00,71.71
5000,0.01,4657.23,127,78,61.95,,,5000,0.01,5713.36,127.00,78.00,61.95
5000,0.2,4639.35,127,78,61.95,,,5000,0.2,5489.16,129.25,75.75,63.05
5000,0.4,4642.73,127,78,61.95,,,5000,0.4,4766.33,139.00,66.00,67.80
5000,0.6,5467.85,127,78,61.95,,,5000,0.6,6037.15,130.75,74.25,63.78
5000,0.9,4208.75,127,78,61.95,,,5000,0.9,5695.67,114.75,90.25,55.98
10000,0.01,9655.35,127,78,61.95,,,10000,0.01,9563.67,127.00,78.00,61.95
10000,0.2,8447.79,127,78,61.95,,,10000,0.2,8650.68,135.00,70.00,65.85
10000,0.4,7521.73,127,78,61.95,,,10000,0.4,9479.24,132.25,72.75,64.51
10000,0.6,7538.35,127,78,61.95,,,10000,0.6,10228.39,144.50,60.50,70.49
10000,0.9,7117.89,78,127,38.05,,,10000,0.9,11036.55,122.50,82.50,59.76
20000,0.01,16412.03,127,78,61.95,,,20000,0.01,17932.07,127.00,78.00,61.95
20000,0.2,13802.2,127,78,61.95,,,20000,0.2,19270.88,138.50,66.50,67.56
20000,0.4,31683.3,127,78,61.95,,,20000,0.4,20649.62,135.50,69.50,66.10
20000,0.6,22145.26,172,33,83.9,,,20000,0.6,16360.03,138.25,66.75,67.44
20000,0.9,14991.56,127,78,61.95,,,20000,0.9,15360.07,127.00,78.00,61.95
50000,0.01,38770.49,127,78,61.95,,,50000,0.01,44721.15,139.25,65.75,67.93
50000,0.2,40250.78,157,48,76.59,,,50000,0.2,52354.75,132.50,72.50,64.64
50000,0.4,45390.28,140,65,68.29,,,50000,0.4,49148.34,126.25,78.75,61.59
50000,0.6,78788.44,131,74,63.9,,,50000,0.6,48145.54,139.50,65.50,68.05
50000,0.9,32722.49,127,78,61.95,,,50000,0.9,33509.79,127.00,78.00,61.95
10,0.01,981.3,78,127,38.05,,,,,,,,
10,0.2,984.94,127,78,61.95,,,,,,,,
10,0.4,998.05,127,78,61.95,,,,,,,,
10,0.6,2053.87,127,78,61.95,,,,,,,,
10,0.9,1011.27,127,78,61.95,,,,,,,,
20,0.01,2086.85,127,78,61.95,,,,,,,,
20,0.2,1034.11,127,78,61.95,,,,,,,,
20,0.4,996.29,127,78,61.95,,,,,,,,
20,0.6,981.05,127,78,61.95,,,,,,,,
20,0.9,993.87,127,78,61.95,,,,,,,,
50,0.01,1046.43,127,78,61.95,,,,,,,,
50,0.2,1009.98,127,78,61.95,,,,,,,,
50,0.4,997.12,127,78,61.95,,,,,,,,
50,0.6,994.21,127,78,61.95,,,,,,,,
50,0.9,991.1,127,78,61.95,,,,,,,,
100,0.01,1059.19,127,78,61.95,,,,,,,,
100,0.2,1062.17,127,78,61.95,,,,,,,,
100,0.4,1041.82,127,78,61.95,,,,,,,,
100,0.6,2347.31,127,78,61.95,,,,,,,,
100,0.9,1078.67,127,78,61.95,,,,,,,,
200,0.01,1158.79,127,78,61.95,,,,,,,,
200,0.2,1155.1,127,78,61.95,,,,,,,,
200,0.4,1148.43,127,78,61.95,,,,,,,,
200,0.6,1138.97,127,78,61.95,,,,,,,,
200,0.9,1151.33,127,78,61.95,,,,,,,,
500,0.01,1397.7,127,78,61.95,,,,,,,,
500,0.2,1384.28,127,78,61.95,,,,,,,,
500,0.4,1366.73,127,78,61.95,,,,,,,,
500,0.6,1378.12,127,78,61.95,,,,,,,,
500,0.9,2668.99,127,78,61.95,,,,,,,,
1000,0.01,1842.88,127,78,61.95,,,,,,,,
1000,0.2,3418.6,127,78,61.95,,,,,,,,
1000,0.4,2186.69,127,78,61.95,,,,,,,,
1000,0.6,1849.31,127,78,61.95,,,,,,,,
1000,0.9,1805.53,127,78,61.95,,,,,,,,
2000,0.01,2675.54,127,78,61.95,,,,,,,,
2000,0.2,2674.38,127,78,61.95,,,,,,,,
2000,0.4,2671.59,127,78,61.95,,,,,,,,
2000,0.6,2639.7,127,78,61.95,,,,,,,,
2000,0.9,2413.76,127,78,61.95,,,,,,,,
5000,0.01,5244.76,127,78,61.95,,,,,,,,
5000,0.2,4867.2,127,78,61.95,,,,,,,,
5000,0.4,4596.34,127,78,61.95,,,,,,,,
5000,0.6,6077.41,127,78,61.95,,,,,,,,
5000,0.9,5804.42,127,78,61.95,,,,,,,,
10000,0.01,10747.81,127,78,61.95,,,,,,,,
10000,0.2,8600.14,127,78,61.95,,,,,,,,
10000,0.4,11486.34,148,57,72.2,,,,,,,,
10000,0.6,8431.33,127,78,61.95,,,,,,,,
10000,0.9,8034.49,127,78,61.95,,,,,,,,
20000,0.01,21830.21,127,78,61.95,,,,,,,,
20000,0.2,19020.35,127,78,61.95,,,,,,,,
20000,0.4,14885.57,127,78,61.95,,,,,,,,
20000,0.6,14697.88,127,78,61.95,,,,,,,,
20000,0.9,16778.81,127,78,61.95,,,,,,,,
50000,0.01,53392.14,127,78,61.95,,,,,,,,
50000,0.2,71660.37,142,63,69.27,,,,,,,,
50000,0.4,51447.64,160,45,78.05,,,,,,,,
50000,0.6,34629.51,127,78,61.95,,,,,,,,
50000,0.9,34381.71,127,78,61.95,,,,,,,,
10,0.01,1768.52,78,127,38.05,,,,,,,,
10,0.2,1756.76,127,78,61.95,,,,,,,,
10,0.4,1452.5,127,78,61.95,,,,,,,,
10,0.6,1365.44,127,78,61.95,,,,,,,,
10,0.9,1287.59,127,78,61.95,,,,,,,,
20,0.01,1055.62,127,78,61.95,,,,,,,,
20,0.2,1047.62,127,78,61.95,,,,,,,,
20,0.4,1123,127,78,61.95,,,,,,,,
20,0.6,2621.98,127,78,61.95,,,,,,,,
20,0.9,1407.32,127,78,61.95,,,,,,,,
50,0.01,1193.79,127,78,61.95,,,,,,,,
50,0.2,2175.33,127,78,61.95,,,,,,,,
50,0.4,989.07,127,78,61.95,,,,,,,,
50,0.6,996.89,127,78,61.95,,,,,,,,
50,0.9,1117.92,127,78,61.95,,,,,,,,
100,0.01,1335.4,127,78,61.95,,,,,,,,
100,0.2,1305.96,127,78,61.95,,,,,,,,
100,0.4,1029.52,127,78,61.95,,,,,,,,
100,0.6,1107.99,127,78,61.95,,,,,,,,
100,0.9,2360.22,127,78,61.95,,,,,,,,
200,0.01,1049.22,127,78,61.95,,,,,,,,
200,0.2,1209.69,127,78,61.95,,,,,,,,
200,0.4,2935.16,127,78,61.95,,,,,,,,
200,0.6,1452.34,127,78,61.95,,,,,,,,
200,0.9,1080.43,127,78,61.95,,,,,,,,
500,0.01,1298.79,127,78,61.95,,,,,,,,
500,0.2,1290.3,127,78,61.95,,,,,,,,
500,0.4,1288.5,127,78,61.95,,,,,,,,
500,0.6,1295.38,127,78,61.95,,,,,,,,
500,0.9,1287.88,127,78,61.95,,,,,,,,
1000,0.01,1654.64,127,78,61.95,,,,,,,,
1000,0.2,1669.08,127,78,61.95,,,,,,,,
1000,0.4,1667.53,127,78,61.95,,,,,,,,
1000,0.6,2984.06,127,78,61.95,,,,,,,,
1000,0.9,2113.07,159,46,77.56,,,,,,,,
2000,0.01,2590.63,127,78,61.95,,,,,,,,
2000,0.2,4574.65,127,78,61.95,,,,,,,,
2000,0.4,2908.85,127,78,61.95,,,,,,,,
2000,0.6,3690.72,176,29,85.85,,,,,,,,
2000,0.9,3121.59,159,46,77.56,,,,,,,,
5000,0.01,6387.78,127,78,61.95,,,,,,,,
5000,0.2,7507.19,136,69,66.34,,,,,,,,
5000,0.4,5569.49,131,74,63.9,,,,,,,,
5000,0.6,6901.29,142,63,69.27,,,,,,,,
5000,0.9,8670.38,78,127,38.05,,,,,,,,
10000,0.01,9303.6,127,78,61.95,,,,,,,,
10000,0.2,9973.73,159,46,77.56,,,,,,,,
10000,0.4,10700.13,127,78,61.95,,,,,,,,
10000,0.6,10521.21,170,35,82.93,,,,,,,,
10000,0.9,16421.77,158,47,77.07,,,,,,,,
20000,0.01,16346.61,127,78,61.95,,,,,,,,
20000,0.2,14011.82,127,78,61.95,,,,,,,,
20000,0.4,15587.63,161,44,78.54,,,,,,,,
20000,0.6,14005.84,127,78,61.95,,,,,,,,
20000,0.9,14994.53,127,78,61.95,,,,,,,,
50000,0.01,45035.92,127,78,61.95,,,,,,,,
50000,0.2,48797.58,78,127,38.05,,,,,,,,
50000,0.4,36297.18,127,78,61.95,,,,,,,,
50000,0.6,46765.91,173,32,84.39,,,,,,,,
50000,0.9,34556.72,127,78,61.95,,,,,,,,
10,0.01,922.75,78,127,38.05,,,,,,,,
10,0.2,1965.29,127,78,61.95,,,,,,,,
10,0.4,975.66,127,78,61.95,,,,,,,,
10,0.6,906.86,127,78,61.95,,,,,,,,
10,0.9,905.5,127,78,61.95,,,,,,,,
20,0.01,908.43,127,78,61.95,,,,,,,,
20,0.2,919.1,127,78,61.95,,,,,,,,
20,0.4,916.65,127,78,61.95,,,,,,,,
20,0.6,892.47,127,78,61.95,,,,,,,,
20,0.9,883.85,127,78,61.95,,,,,,,,
50,0.01,960.3,127,78,61.95,,,,,,,,
50,0.2,1237.33,127,78,61.95,,,,,,,,
50,0.4,1279.68,127,78,61.95,,,,,,,,
50,0.6,2654.55,127,78,61.95,,,,,,,,
50,0.9,1036.81,127,78,61.95,,,,,,,,
100,0.01,2583.41,127,78,61.95,,,,,,,,
100,0.2,1031.43,127,78,61.95,,,,,,,,
100,0.4,1026.08,127,78,61.95,,,,,,,,
100,0.6,1082.96,127,78,61.95,,,,,,,,
100,0.9,987.98,127,78,61.95,,,,,,,,
200,0.01,1064.9,127,78,61.95,,,,,,,,
200,0.2,1327.4,127,78,61.95,,,,,,,,
200,0.4,1371.92,127,78,61.95,,,,,,,,
200,0.6,1583.59,127,78,61.95,,,,,,,,
200,0.9,2464.3,127,78,61.95,,,,,,,,
500,0.01,1464.49,127,78,61.95,,,,,,,,
500,0.2,1387.85,127,78,61.95,,,,,,,,
500,0.4,2512.06,127,78,61.95,,,,,,,,
500,0.6,1352.65,127,78,61.95,,,,,,,,
500,0.9,1543.37,127,78,61.95,,,,,,,,
1000,0.01,2132.75,127,78,61.95,,,,,,,,
1000,0.2,2969.99,127,78,61.95,,,,,,,,
1000,0.4,2317.83,127,78,61.95,,,,,,,,
1000,0.6,2445.93,127,78,61.95,,,,,,,,
1000,0.9,1751.41,127,78,61.95,,,,,,,,
2000,0.01,2951.72,127,78,61.95,,,,,,,,
2000,0.2,3721.16,127,78,61.95,,,,,,,,
2000,0.4,4267.38,176,29,85.85,,,,,,,,
2000,0.6,4285.26,127,78,61.95,,,,,,,,
2000,0.9,2712.67,175,30,85.37,,,,,,,,
5000,0.01,6563.67,127,78,61.95,,,,,,,,
5000,0.2,4942.88,127,78,61.95,,,,,,,,
5000,0.4,4256.74,171,34,83.41,,,,,,,,
5000,0.6,5702.04,127,78,61.95,,,,,,,,
5000,0.9,4099.14,127,78,61.95,,,,,,,,
10000,0.01,8547.91,127,78,61.95,,,,,,,,
10000,0.2,7581.06,127,78,61.95,,,,,,,,
10000,0.4,8208.77,127,78,61.95,,,,,,,,
10000,0.6,14422.68,154,51,75.12,,,,,,,,
10000,0.9,12572.04,127,78,61.95,,,,,,,,
20000,0.01,17139.42,127,78,61.95,,,,,,,,
20000,0.2,30249.16,173,32,84.39,,,,,,,,
20000,0.4,20441.96,127,78,61.95,,,,,,,,
20000,0.6,14591.15,127,78,61.95,,,,,,,,
20000,0.9,14675.37,127,78,61.95,,,,,,,,
50000,0.01,41686.06,176,29,85.85,,,,,,,,
50000,0.2,48710.26,153,52,74.63,,,,,,,,
50000,0.4,63458.27,78,127,38.05,,,,,,,,
50000,0.6,32398.3,127,78,61.95,,,,,,,,
50000,0.9,32378.24,127,78,61.95,,,,,,,,
